district_number,electoral_district,electoral_district_fre,party,party_fre,family_name,first_name,initials
10001,Avalon,Avalon,Conservative Party of Canada,Parti conservateur du Canada,Chapman,Matthew,
10001,Avalon,Avalon,Green Party of Canada,Le Parti Vert du Canada,Malone,Greg,
10001,Avalon,Avalon,Liberal Party of Canada,Parti libÈral du Canada,McDonald,Kenneth,
10001,Avalon,Avalon,New Democratic Party,Nouveau Parti dÈmocratique,Movelle,Lea Mary,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,New Democratic Party,Nouveau Parti dÈmocratique,Cooper,Matthew,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Green Party of Canada,Le Parti Vert du Canada,Reichel,Kelsey,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Liberal Party of Canada,Parti libÈral du Canada,Rogers,Churence,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Conservative Party of Canada,Parti conservateur du Canada,Vokey,Sharon,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Conservative Party of Canada,Parti conservateur du Canada,Bracci,Alex,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,New Democratic Party,Nouveau Parti dÈmocratique,Joe,Noel,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Liberal Party of Canada,Parti libÈral du Canada,Simms,Scott,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Green Party of Canada,Le Parti Vert du Canada,White,Byron,
10004,Labrador,Labrador,Green Party of Canada,Le Parti Vert du Canada,Colbourne,Tyler,
10004,Labrador,Labrador,Conservative Party of Canada,Parti conservateur du Canada,Flemming,Larry,
10004,Labrador,Labrador,New Democratic Party,Nouveau Parti dÈmocratique,Gray,Michelene,
10004,Labrador,Labrador,Liberal Party of Canada,Parti libÈral du Canada,Jones,Yvonne,
10005,Long Range Mountains,Long Range Mountains,Conservative Party of Canada,Parti conservateur du Canada,Eisses,Josh,
10005,Long Range Mountains,Long Range Mountains,Liberal Party of Canada,Parti libÈral du Canada,Hutchings,Gudie,
10005,Long Range Mountains,Long Range Mountains,Green Party of Canada,Le Parti Vert du Canada,Knill,Lucas,
10005,Long Range Mountains,Long Range Mountains,Veterans Coalition Party of Canada,Parti de la coalition des anciens combattants du Canada,Miles,Robert,
10005,Long Range Mountains,Long Range Mountains,New Democratic Party,Nouveau Parti dÈmocratique,Pike,Holly,
10006,St. John's East,St. John's-Est,New Democratic Party,Nouveau Parti dÈmocratique,Harris,Jack,
10006,St. John's East,St. John's-Est,Green Party of Canada,Le Parti Vert du Canada,Peters,David,
10006,St. John's East,St. John's-Est,Conservative Party of Canada,Parti conservateur du Canada,Wall,Joedy,
10006,St. John's East,St. John's-Est,Liberal Party of Canada,Parti libÈral du Canada,Whalen,Nick,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,New Democratic Party,Nouveau Parti dÈmocratique,Anonsen,Anne Marie,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Green Party of Canada,Le Parti Vert du Canada,Hayward,Alexandra,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Christian Heritage Party of Canada,Parti de l'HÈritage ChrÈtien du Canada,Jones,David,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Conservative Party of Canada,Parti conservateur du Canada,Martin,Terry,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Liberal Party of Canada,Parti libÈral du Canada,O'Regan,Seamus,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,People's Party of Canada,Parti populaire du Canada,Ruckpaul,Benjamin,
11001,Cardigan,Cardigan,Green Party of Canada,Le Parti Vert du Canada,Beaton,Glen,
11001,Cardigan,Cardigan,Liberal Party of Canada,Parti libÈral du Canada,MacAulay,Lawrence,
11001,Cardigan,Cardigan,Conservative Party of Canada,Parti conservateur du Canada,Phelan,Wayne,
11001,Cardigan,Cardigan,Christian Heritage Party of Canada,Parti de l'HÈritage ChrÈtien du Canada,Squires,Christene,
11001,Cardigan,Cardigan,New Democratic Party,Nouveau Parti dÈmocratique,Thiele,Lynne,
11002,Charlottetown,Charlottetown,New Democratic Party,Nouveau Parti dÈmocratique,Byrne,Joe,
11002,Charlottetown,Charlottetown,Conservative Party of Canada,Parti conservateur du Canada,Campbell,Robert A.,
11002,Charlottetown,Charlottetown,Liberal Party of Canada,Parti libÈral du Canada,Casey,Sean,
11002,Charlottetown,Charlottetown,Green Party of Canada,Le Parti Vert du Canada,Lanthier,Darcie,
11002,Charlottetown,Charlottetown,Christian Heritage Party of Canada,Parti de l'HÈritage ChrÈtien du Canada,MacLeod,Fred,
11003,Egmont,Egmont,Green Party of Canada,Le Parti Vert du Canada,Clark,Alex,
11003,Egmont,Egmont,New Democratic Party,Nouveau Parti dÈmocratique,Dunn,Sharon,
11003,Egmont,Egmont,Conservative Party of Canada,Parti conservateur du Canada,McLellan,Logan,
11003,Egmont,Egmont,Liberal Party of Canada,Parti libÈral du Canada,Morrissey,Bobby,
11004,Malpeque,Malpeque,Liberal Party of Canada,Parti libÈral du Canada,Easter,Wayne,
11004,Malpeque,Malpeque,Green Party of Canada,Le Parti Vert du Canada,Keenan,Anna,
11004,Malpeque,Malpeque,New Democratic Party,Nouveau Parti dÈmocratique,Nash,Craig,
11004,Malpeque,Malpeque,Conservative Party of Canada,Parti conservateur du Canada,Stewart,Stephen,
12001,Cape Breton--Canso,Cape Breton--Canso,Independent,IndÈpendant(e),Dockrill,Michelle,
12001,Cape Breton--Canso,Cape Breton--Canso,Green Party of Canada,Le Parti Vert du Canada,Doucet,Clive,
12001,Cape Breton--Canso,Cape Breton--Canso,People's Party of Canada,Parti populaire du Canada,Joyce,Billy,
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal Party of Canada,Parti libÈral du Canada,Kelloway,Mike,
12001,Cape Breton--Canso,Cape Breton--Canso,National Citizens Alliance of Canada,Alliance Nationale des Citoyens du Canada,LeBlanc,Darlene Lynn,
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative Party of Canada,Parti conservateur du Canada,MacLeod,Alfie,
12001,Cape Breton--Canso,Cape Breton--Canso,New Democratic Party,Nouveau Parti dÈmocratique,Suitor,Laurie,
12002,Central Nova,Nova-Centre,Conservative Party of Canada,Parti conservateur du Canada,Canyon,George,
12002,Central Nova,Nova-Centre,Liberal Party of Canada,Parti libÈral du Canada,Fraser,Sean,
12002,Central Nova,Nova-Centre,Communist Party of Canada,Parti communiste du Canada,Frazer,Chris,
12002,Central Nova,Nova-Centre,New Democratic Party,Nouveau Parti dÈmocratique,MacDonald,Betsy,
12002,Central Nova,Nova-Centre,People's Party of Canada,Parti populaire du Canada,Muir,Al,
12002,Central Nova,Nova-Centre,Green Party of Canada,Le Parti Vert du Canada,Randle,Barry,
12002,Central Nova,Nova-Centre,Independent,IndÈpendant(e),Slowik,Michael,
12003,Cumberland--Colchester,Cumberland--Colchester,People's Party of Canada,Parti populaire du Canada,Archer,William,
12003,Cumberland--Colchester,Cumberland--Colchester,Conservative Party of Canada,Parti conservateur du Canada,Armstrong,Scott,
12003,Cumberland--Colchester,Cumberland--Colchester,Green Party of Canada,Le Parti Vert du Canada,Blanch,Jason,
12003,Cumberland--Colchester,Cumberland--Colchester,New Democratic Party,Nouveau Parti dÈmocratique,Duchesne,Larry,
12003,Cumberland--Colchester,Cumberland--Colchester,National Citizens Alliance of Canada,Alliance Nationale des Citoyens du Canada,Garvey,Stephen J,
12003,Cumberland--Colchester,Cumberland--Colchester,Veterans Coalition Party of Canada,Parti de la coalition des anciens combattants du Canada,O'Blenis,Jody,
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,IndÈpendant(e),Rushton,Matthew V.,
12003,Cumberland--Colchester,Cumberland--Colchester,Liberal Party of Canada,Parti libÈral du Canada,Zann,Lenore,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative Party of Canada,Parti conservateur du Canada,Cole,Jason,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal Party of Canada,Parti libÈral du Canada,Fisher,Darren,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,People's Party of Canada,Parti populaire du Canada,Lindsay,Michelle,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green Party of Canada,Le Parti Vert du Canada,MacPherson,Lil,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,New Democratic Party,Nouveau Parti dÈmocratique,Norton,Emma,
12005,Halifax,Halifax,Liberal Party of Canada,Parti libÈral du Canada,Fillmore,Andy,
12005,Halifax,Halifax,Conservative Party of Canada,Parti conservateur du Canada,Holland,Bruce,
12005,Halifax,Halifax,People's Party of Canada,Parti populaire du Canada,McGenn,Duncan,
12005,Halifax,Halifax,Green Party of Canada,Le Parti Vert du Canada,Roberts,Jo-Ann,
