district_number,electoral_district,electoral_district_fre,party,party_fre,family_name,first_name,camp_phone,climate_change,affordability,education,housing,,,,,,
10001,Avalon,Avalon,Conservative Party of Canada,Parti conservateur du Canada,Chapman,Matthew,(709) 781-1800,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
10001,Avalon,Avalon,Green Party of Canada,Le Parti Vert du Canada,Malone,Greg,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
10001,Avalon,Avalon,Liberal Party of Canada,Parti libÈral du Canada,McDonald,Kenneth,(709) 781-7586,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
10001,Avalon,Avalon,New Democratic Party,Nouveau Parti dÈmocratique,Movelle,Lea Mary,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,New Democratic Party,Nouveau Parti dÈmocratique,Cooper,Matthew,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Green Party of Canada,Le Parti Vert du Canada,Reichel,Kelsey,(709) 597-4785,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Liberal Party of Canada,Parti libÈral du Canada,Rogers,Churence,(709) 466-4695,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Conservative Party of Canada,Parti conservateur du Canada,Vokey,Sharon,(709) 689-4155,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Conservative Party of Canada,Parti conservateur du Canada,Bracci,Alex,(709) 422-4416,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,New Democratic Party,Nouveau Parti dÈmocratique,Joe,Noel,,"<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>","<a href=""https://www.youtube.com/"" target=""_blank"">YouTube Demo Link</a>"
